Nombre,Chiffres,Algo1,Algo2,Algo3,Algo4
107,3,0.000002,0.000001,0.000002,0.000001
163,3,0.000002,0.000002,0.000001,0.000001
563,3,0.000003,0.000002,0.000002,0.000001
839,3,0.000004,0.000003,0.000001,0.000001
281,3,0.000002,0.000002,0.000001,0.000001
883,3,0.000004,0.000003,0.000001,0.000001
137,3,0.000002,0.000001,0.000001,0.000001
719,3,0.000003,0.000003,0.000001,0.000001
239,3,0.000002,0.000002,0.000001,0.000001
823,3,0.000004,0.000003,0.000001,0.000001
138283,6,0.000443,0.000221,0.000002,0.000001
503413,6,0.001625,0.000908,0.000004,0.000003
722243,6,0.002386,0.001738,0.000004,0.000002
589717,6,0.001900,0.000950,0.000003,0.000003
546233,6,0.001772,0.000885,0.000004,0.000002
123341,6,0.000397,0.000199,0.000002,0.000002
636541,6,0.002079,0.001028,0.000003,0.000003
570221,6,0.001843,0.000922,0.000004,0.000002
642407,6,0.002063,0.001030,0.000004,0.000002
784799,6,0.002524,0.001259,0.000004,0.000002
583920311,9,0.000001,0.000001,0.000001,0.000001
907381489,9,0.000001,0.000001,0.000002,0.000001
214763521,9,0.000001,0.000001,0.000001,0.000001
730192403,9,0.000057,0.000058,0.000058,0.000037
519873211,9,0.000001,0.000001,0.000002,0.000001
864301567,9,0.000001,0.000001,0.000002,0.000001
132907843,9,0.427176,0.213620,0.000039,0.000020
790124983,9,2.224707,0.607824,0.000044,0.000022
348917239,9,0.000001,0.000001,0.000000,0.000000
602389471,9,0.000000,0.000000,0.000001,0.000000
507193820411,12,0.000000,0.000000,0.000001,0.000000
903284719357,12,0.000036,0.000036,0.000037,0.000018
128937465821,12,0.000001,0.000001,0.000001,0.000000
760291843627,12,0.000001,0.000000,0.000001,0.000001
342198570311,12,0.000000,0.000000,0.000001,0.000001
691072384903,12,0.000000,0.000001,0.000000,0.000000
815203947131,12,0.000001,0.000000,0.000001,0.000001
274590138467,12,0.000006,0.000006,0.000006,0.000003
453812907191,12,0.000001,0.000001,0.000000,0.000000
639021847603,12,0.000000,0.000000,0.000001,0.000001
