Nombre,Chiffres,Algo1_Temps(s),Algo2_Temps(s),Algo3_Temps(s),Algo4_Temps(s),Algo1_Premier,Algo2_Premier,Algo3_Premier,Algo4_Premier
107,3,8.344650268554688e-06,4.609425862630208e-06,2.5431315104166665e-06,1.3510386149088542e-06,1.0,1.0,1,1
163,3,1.0808308919270834e-05,6.039937337239583e-06,1.1126200358072917e-06,7.947285970052084e-07,1.0,1.0,1,1
563,3,4.9273173014322914e-05,2.5113423665364582e-05,1.8278757731119792e-06,1.0331471761067708e-06,1.0,1.0,1,1
839,3,7.446606953938802e-05,3.902117411295573e-05,1.986821492513021e-06,1.2715657552083333e-06,1.0,1.0,1,1
281,3,2.296765645345052e-05,1.1364618937174479e-05,1.3510386149088542e-06,8.742014567057291e-07,1.0,1.0,1,1
883,3,8.018811543782552e-05,4.180272420247396e-05,2.0662943522135415e-06,1.1126200358072917e-06,1.0,1.0,1,1
137,3,9.298324584960938e-06,5.1657358805338544e-06,1.1126200358072917e-06,7.947285970052084e-07,1.0,1.0,1,1
719,3,6.421407063802083e-05,4.100799560546875e-05,1.986821492513021e-06,1.2715657552083333e-06,1.0,1.0,1,1
239,3,1.5735626220703125e-05,8.58306884765625e-06,1.2715657552083333e-06,9.5367431640625e-07,1.0,1.0,1,1
823,3,8.58306884765625e-05,4.506111145019531e-05,2.304712931315104e-06,1.2715657552083333e-06,1.0,1.0,1,1
138283,6,0.015163024266560873,0.008751710255940756,2.6305516560872395e-05,1.2318293253580729e-05,1.0,1.0,1,1
503413,6,0.05496962865193685,0.029540141423543293,5.38031260172526e-05,2.6861826578776043e-05,1.0,1.0,1,1
722243,6,0.07901628812154134,0.04230340321858724,7.875760396321614e-05,3.814697265625e-05,1.0,1.0,1,1
589717,6,0.06350572903951009,0.03403210639953613,5.737940470377604e-05,2.9246012369791668e-05,1.0,1.0,1,1
546233,6,0.05190340677897135,0.01817973454793294,2.7100245157877605e-05,1.3987223307291666e-05,1.0,1.0,1,1
123341,6,0.006029208501180013,0.0033357938130696616,1.0331471761067709e-05,5.3246815999348956e-06,1.0,1.0,1,1
636541,6,0.03101197878519694,0.017322381337483723,2.868970235188802e-05,1.4861424763997396e-05,1.0,1.0,1,1
570221,6,0.027945915857950848,0.015645583470662434,2.7020772298177082e-05,1.3828277587890625e-05,1.0,1.0,1,1
642407,6,0.03172596295674642,0.017857869466145832,2.8769175211588543e-05,1.4940897623697916e-05,1.0,1.0,1,1
784799,6,0.03860791524251302,0.02188698450724284,3.47296396891276e-05,1.708666483561198e-05,1.0,1.0,1,1
583920311,9,,,7.152557373046875e-07,5.563100179036459e-07,,,0,0
907381489,9,,,5.563100179036459e-07,2.384185791015625e-07,,,0,0
214763521,9,,,3.178914388020833e-07,3.973642985026042e-07,,,0,0
730192403,9,,,0.0006962617238362631,0.00034801165262858075,,,0,0
519873211,9,,,2.5431315104166665e-06,7.152557373046875e-07,,,0,0
864301567,9,,,1.430511474609375e-06,8.742014567057291e-07,,,0,0
132907843,9,,,0.00045172373453776043,0.00022776921590169272,,,1,1
790124983,9,,,0.0011181036631266277,0.0005551973978678385,,,1,1
348917239,9,,,4.76837158203125e-07,3.973642985026042e-07,,,0,0
602389471,9,,,7.947285970052084e-07,5.563100179036459e-07,,,0,0
507193820411,12,,,1.5894571940104167e-06,7.947285970052084e-07,,,0,0
903284719357,12,,,0.0009755293528238932,0.0004885196685791016,,,0,0
128937465821,12,,,5.563100179036459e-07,4.76837158203125e-07,,,0,0
760291843627,12,,,4.291534423828125e-06,2.304712931315104e-06,,,0,0
342198570311,12,,,4.76837158203125e-07,2.384185791015625e-07,,,0,0
691072384903,12,,,7.152557373046875e-07,5.563100179036459e-07,,,0,0
815203947131,12,,,3.973642985026042e-07,2.384185791015625e-07,,,0,0
274590138467,12,,,0.0001331965128580729,6.588300069173177e-05,,,0,0
453812907191,12,,,3.973642985026042e-07,3.973642985026042e-07,,,0,0
639021847603,12,,,2.940495808919271e-06,1.6689300537109375e-06,,,0,0
