n,temps_meilleur,temps_pire
1,0.000003,0.000002
4512,0.000002,0.000013
9023,0.000002,0.000025
13534,0.000002,0.000036
18046,0.000001,0.000048
22557,0.000002,0.000032
27068,0.000001,0.000034
31579,0.000001,0.000039
36091,0.000001,0.000044
40602,0.000001,0.000050
45113,0.000001,0.000055
49625,0.000001,0.000062
54136,0.000001,0.000068
58647,0.000001,0.000074
63158,0.000001,0.000080
67670,0.000001,0.000089
72181,0.000001,0.000088
76692,0.000001,0.000094
81203,0.000001,0.000099
85715,0.000001,0.000107
90226,0.000001,0.000111
94737,0.000000,0.000121
99249,0.000001,0.000124
103760,0.000001,0.000126
108271,0.000002,0.000132
112782,0.000001,0.000147
117294,0.000001,0.000143
121805,0.000001,0.000148
126316,0.000001,0.000154
130827,0.000001,0.000161
135339,0.000001,0.000168
139850,0.000001,0.000174
144361,0.000001,0.000176
148873,0.000001,0.000181
153384,0.000001,0.000188
157895,0.000001,0.000194
162406,0.000001,0.000198
166918,0.000001,0.000206
171429,0.000001,0.000210
175940,0.000001,0.000216
180452,0.000001,0.000220
184963,0.000001,0.000224
189474,0.000001,0.000230
193985,0.000001,0.000244
198497,0.000001,0.000241
203008,0.000001,0.000247
207519,0.000001,0.000254
212030,0.000001,0.000263
216542,0.000001,0.000264
221053,0.000001,0.000271
225564,0.000001,0.000274
230076,0.000001,0.000279
234587,0.000001,0.000292
239098,0.000001,0.000290
243609,0.000001,0.000296
248121,0.000001,0.000303
252632,0.000001,0.000314
257143,0.000001,0.000315
261654,0.000001,0.000316
266166,0.000001,0.000329
270677,0.000001,0.000337
275188,0.000001,0.000334
279700,0.000001,0.000342
284211,0.000001,0.000350
288722,0.000001,0.000350
293233,0.000001,0.000360
297745,0.000001,0.000374
302256,0.000001,0.000368
306767,0.000001,0.000372
311279,0.000001,0.000398
315790,0.000001,0.000382
320301,0.000001,0.000397
324812,0.000001,0.000399
329324,0.000002,0.000410
333835,0.000001,0.000426
338346,0.000001,0.000410
342857,0.000001,0.000422
347369,0.000001,0.000426
351880,0.000001,0.000434
356391,0.000002,0.000443
360903,0.000001,0.000440
365414,0.000001,0.000449
