n,temps_meilleur,temps_pire
1,0.000002,0
4512,0.000001,0.000006
9023,0.000001,0.000012
13534,0.000001,0.000029
18046,0.000001,0.000023
22557,0.000001,0.000029
27068,0.000001,0.000034
31579,0.000001,0.000045
36091,0.000001,0.000045
40602,0.000001,0.000051
45113,0.000001,0.000055
49625,0.000001,0.000063
54136,0.000001,0.000066
58647,0.000001,0.000074
63158,0.000001,0.000079
67670,0.000001,0.000105
72181,0.000001,0.000091
76692,0.000001,0.000095
81203,0.000001,0.000101
85715,0.000001,0.000107
90226,0.000002,0.000115
94737,0.000001,0.000123
99249,0.000001,0.000121
103760,0.000001,0.000126
108271,0.000001,0.000132
112782,0.000001,0.000142
117294,0.000001,0.000145
121805,0.000001,0.000148
126316,0.000001,0.000154
130827,0.000001,0.000159
135339,0.000001,0.000165
139850,0.000001,0.000172
144361,0.000001,0.000176
148873,0.000001,0.000181
153384,0.000004,0.000191
157895,0.000001,0.000192
162406,0.000001,0.000198
166918,0.000001,0.000209
171429,0.000003,0.000224
175940,0.000001,0.000213
180452,0.000001,0.000219
184963,0.000001,0.000224
189474,0.000001,0.00023
193985,0.000001,0.000251
198497,0.000001,0.000243
203008,0.000001,0.000246
207519,0.000001,0.000273
212030,0.000001,0.000256
216542,0.000001,0.000274
221053,0.000001,0.000269
225564,0.000001,0.000273
230076,0.000001,0.000284
234587,0.000001,0.000284
239098,0.000001,0.000291
243609,0.000001,0.000295
248121,0.000001,0.000304
252632,0.000001,0.000306
257143,0.000001,0.000319
261654,0.000001,0.00032
266166,0.000001,0.000325
270677,0.000001,0.000328
275188,0.000001,0.000341
279700,0.000001,0.000344
284211,0.000001,0.000358
288722,0,0.00035
293233,0.000001,0.000359
297745,0.000001,0.00036
302256,0.000001,0.000367
306767,0.000001,0.000374
311279,0.000001,0.000388
315790,0.000001,0.000389
320301,0.000001,0.000388
324812,0.000002,0.000401
329324,0.000001,0.000405
333835,0.000001,0.000416
338346,0.000001,0.000418
342857,0.000001,0.000435
347369,0.000001,0.000426
351880,0.000001,0.000435
356391,0.000001,0.000508
360903,0.000001,0.000438
365414,0.000001,0.000442
369925,0.000001,0.000459
374436,0.000001,0.00046
378948,0.000001,0.000469
383459,0.000001,0.000468
387970,0.000001,0.000477
392481,0.000001,0.00048
396993,0.000001,0.000496
401504,0.000001,0.000494
406015,0.000001,0.000492
410527,0.000001,0.000498
415038,0.000001,0.000511
419549,0.000001,0.000513
424060,0.000001,0.000523
428572,0.000001,0.000529
433083,0.000001,0.000533
437594,0.000001,0.000538
442106,0.000001,0.000544
446617,0,0.000547
451128,0.000002,0.000566
455639,0.000001,0.000558
460151,0.000001,0.000557
464662,0.000001,0.000579
469173,0.000001,0.000567
473684,0.000001,0.000579
478196,0.000001,0.00058
482707,0.000001,0.00059
487218,0.000001,0.0006
491730,0.000001,0.000595
496241,0.000001,0.000606
500752,0.000001,0.000615
505263,0.000001,0.000626
509775,0.000001,0.000625
514286,0.000001,0.000629
518797,0.000001,0.000639
523308,0.000001,0.000643
527820,0.000001,0.000649
532331,0.000001,0.000653
536842,0.000001,0.000658
541354,0.000001,0.000688
545865,0.000001,0.000666
550376,0.000002,0.000674
554887,0.000001,0.000672
559399,0.000001,0.000682
563910,0.000001,0.00069
568421,0.000001,0.000692
572933,0.000001,0.000712
577444,0.000001,0.000706
581955,0.000001,0.000709
586466,0.000001,0.000717
590978,0.000001,0.000739
595489,0.000001,0.000728
600000,0.000001,0.000732
604511,0.000001,0.000742
609023,0.000001,0.000747
613534,0.000001,0.000748
618045,0.000001,0.000762
622557,0.000001,0.000764
627068,0.000001,0.000758
631579,0.000001,0.00077
636090,0.000001,0.00079
640602,0.000001,0.00079
645113,0.000001,0.00079
649624,0.000001,0.000806
654135,0.000001,0.000816
658647,0.000001,0.000817
663158,0.000001,0.000824
667669,0.000001,0.000817
672181,0.000001,0.000813
676692,0.000001,0.000822
681203,0.000001,0.000825
685714,0.000001,0.000833
690226,0.000001,0.000835
694737,0.000001,0.000864
699248,0.000001,0.000855
703760,0.000001,0.00086
708271,0.000001,0.000876
712782,0.000001,0.00087
717293,0.000001,0.000901
721805,0.000001,0.000879
726316,0.000001,0.000884
730827,0.000001,0.000912
735338,0.000001,0.000915
739850,0.000001,0.0009
744361,0.000001,0.000933
748872,0.000001,0.000921
753384,0.000001,0.000919
757895,0.000001,0.000929
