n,temps_meilleur,temps_pire
1,2.333999873371795e-06,2.655000571394339e-06
4512,5.1699989853659645e-06,3.537001248332672e-06
9023,1.5630012057954445e-06,3.375998858246021e-06
13534,4.528001227299683e-06,3.406999894650653e-06
18046,4.309000360080972e-06,3.4870008676080033e-06
22557,1.4929992175893858e-06,3.4869990486185998e-06
27068,4.808998710359447e-06,3.356000888743438e-06
31579,1.302998498431407e-06,3.2759999157860875e-06
36091,1.2330001482041553e-06,3.396999090909958e-06
40602,4.318000719649717e-06,3.0049995984882116e-06
45113,1.2019991117995232e-06,3.1260005926014856e-06
49625,1.3429998944047838e-06,3.537001248332672e-06
54136,4.208000973449089e-06,3.5270004445919767e-06
58647,1.3120006769895554e-06,3.1859999580774456e-06
63158,4.719000571640208e-06,3.03599881590344e-06
67670,5.0390008254908025e-06,3.897999704349786e-06
72181,1.1920001270482317e-06,3.106000804109499e-06
76692,4.3790005292976275e-06,3.62699938705191e-06
81203,1.4920005924068391e-06,3.918001311831176e-06
85715,1.252999936696142e-06,3.50700065609999e-06
90226,4.8389993025921285e-06,3.646999175543897e-06
94737,1.2119999155402184e-06,3.50600021192804e-06
99249,1.3529988791560754e-06,3.316999936942011e-06
103760,4.699000783148222e-06,3.7669997254852206e-06
108271,1.993999831029214e-06,4.047999027534388e-06
112782,5.199999577598646e-06,3.4959994081873447e-06
117294,4.92899926030077e-06,3.4469994716346264e-06
121805,1.6539997886866331e-06,3.9480000850744545e-06
126316,4.508001438807696e-06,3.076000211876817e-06
130827,1.7829988792072982e-06,4.1380008042324334e-06
135339,1.5829991752980277e-06,3.907000063918531e-06
139850,4.538000212050974e-06,3.6170004023006186e-06
144361,1.7230013327207416e-06,3.677001586765982e-06
148873,1.082000380847603e-06,3.847000698442571e-06
153384,4.638999598682858e-06,3.44700129062403e-06
157895,9.619998309062794e-07,4.338000508141704e-06
162406,4.708999767899513e-06,3.50700065609999e-06
166918,8.095001248875633e-06,6.001000656397082e-06
171429,1.75300010596402e-06,5.090001650387421e-06
175940,7.353999535553157e-06,4.899000487057492e-06
180452,1.3285000022733584e-05,6.572001439053565e-06
184963,4.627998350770213e-06,6.443000529543497e-06
189474,7.204000212368555e-06,4.469000487006269e-06
193985,5.509999027708545e-06,8.466000508633442e-06
198497,1.7929996829479933e-06,4.5889992179581895e-06
203008,2.199200025643222e-05,5.621001037070528e-06
207519,2.6050001906696707e-06,4.850000550504774e-06
212030,7.97500069893431e-06,4.227998942951672e-06
216542,6.1920000007376075e-06,5.6799999583745375e-06
221053,2.3539996618637815e-06,6.141000994830392e-06
225564,6.993001079536043e-06,5.751000571763143e-06
230076,9.297000360675156e-06,6.5330004872521386e-06
234587,2.965998646686785e-06,6.862999725854024e-06
239098,6.672000381513499e-06,5.2699997468153015e-06
243609,2.4150012905010954e-06,5.3010007832199335e-06
248121,2.704999133129604e-06,5.309999323799275e-06
252632,6.862999725854024e-06,5.089999831398018e-06
257143,3.9169990486698225e-06,9.037999916472472e-06
261654,9.25799940887373e-06,6.62200000078883e-06
266166,1.0490000931895338e-05,6.231999577721581e-06
270677,2.5049994292203337e-06,5.951000275672413e-06
275188,8.15599923953414e-06,6.311998731689528e-06
279700,1.0970999937853776e-05,7.0930000219959766e-06
284211,1.6529993445146829e-06,5.85100133321248e-06
288722,1.096099913411308e-05,6.963000487303361e-06
293233,2.4050004867604002e-06,6.973001291044056e-06
297745,2.8950016712769866e-06,7.795000783517025e-06
302256,9.27800101635512e-06,6.432001100620255e-06
306767,3.6069995985599235e-06,9.227998816641048e-06
311279,2.2639997041551396e-06,6.93400033924263e-06
315790,9.25799940887373e-06,6.231999577721581e-06
320301,2.144999598385766e-06,6.431999281630851e-06
324812,8.906999937607907e-06,6.221000148798339e-06
329324,1.1641999662970193e-05,8.125000022118911e-06
333835,2.804999894578941e-06,6.48199966235552e-06
338346,1.2724000043817796e-05,7.365000783465803e-06
342857,1.7730017134454101e-06,6.522001058328897e-06
347369,1.9540002540452406e-06,7.523998647229746e-06
351880,9.08699985302519e-06,5.580999641097151e-06
356391,2.8559989004861563e-06,7.123999239411205e-06
360903,1.8830014596460387e-06,6.161999408504926e-06
365414,9.337998562841676e-06,6.973999916226603e-06
369925,3.257000571466051e-06,8.716999218449928e-06
374436,1.0358999134041369e-05,6.842999937362038e-06
378948,1.0179999662796035e-05,6.48199966235552e-06
383459,1.7829988792072982e-06,5.841000529471785e-06
387970,1.061999864759855e-05,5.821999366162345e-06
392481,1.8840000848285854e-06,5.631000021821819e-06
396993,1.983999027288519e-06,6.082000254536979e-06
401504,1.0198999007116072e-05,6.321999535430223e-06
406015,2.634998963912949e-06,8.506000085617416e-06
410527,2.3850006982684135e-06,6.943000698811375e-06
415038,1.2544000128400512e-05,8.556000466342084e-06
419549,3.076000211876817e-06,6.893000318086706e-06
424060,1.1672000255202875e-05,8.847000572131947e-06
428572,9.678999049356207e-06,5.820998921990395e-06
433083,1.993999831029214e-06,6.882999514346011e-06
437594,1.1471000107121654e-05,7.723998351139016e-06
442106,1.1832000382128172e-05,6.632999429712072e-06
446617,2.143999154213816e-06,6.532000043080188e-06
451128,1.1180998626514338e-05,7.044000085443258e-06
455639,2.495000444469042e-06,6.312000550678931e-06
460151,2.153999957954511e-06,6.922999091329984e-06
464662,1.1370999345672317e-05,7.394000931526534e-06
469173,2.696000592550263e-06,7.513999662478454e-06
473684,1.14820013550343e-05,6.2920007621869445e-06
478196,1.1572001312742941e-05,7.554999683634378e-06
482707,3.065999408136122e-06,6.952999683562666e-06
487218,1.0379999366705306e-05,7.504000677727163e-06
491730,1.1391000953153707e-05,6.512000254588202e-06
496241,2.8760005079675466e-06,7.103999450919218e-06
500752,1.2423999578459188e-05,6.121999831520952e-06
505263,3.2970001484500244e-06,7.07300023350399e-06
509775,3.0249993869801983e-06,6.882999514346011e-06
514286,1.2123000487918034e-05,6.8329991336213425e-06
518797,2.9259990697028115e-06,6.592999852728099e-06
523308,1.012900065688882e-05,6.48199966235552e-06
527820,1.2042999514960684e-05,9.208000847138464e-06
532331,3.2459993235534057e-06,6.9329998950706795e-06
536842,1.4097000530455261e-05,7.695000022067688e-06
541354,1.2263000826351345e-05,7.144000846892595e-06
545865,2.585000402177684e-06,8.166000043274835e-06
550376,1.1842999811051413e-05,7.544000254711136e-06
554887,2.6249999791616574e-06,7.493999873986468e-06
559399,2.675000359886326e-06,7.034001100691967e-06
563910,1.3585999113274738e-05,8.795999747235328e-06
568421,4.307999915909022e-06,8.29599957796745e-06
572933,3.135999577352777e-06,9.137998858932406e-06
577444,1.2644000889849849e-05,8.736000381759368e-06
581955,3.306999133201316e-06,7.9849996836856e-06
586466,1.3115000911056995e-05,7.5739990279544145e-06
590978,1.9276998500572518e-05,9.298000804847106e-06
595489,3.4259992389706895e-06,7.974998879944906e-06
600000,1.3976999980513938e-05,8.726001397008076e-06
604511,3.1360013963421807e-06,7.514001481467858e-06
609023,2.585000402177684e-06,8.345999958692119e-06
613534,1.1591999282245524e-05,7.403999916277826e-06
618045,2.273998688906431e-06,8.11500103736762e-06
622557,2.5049994292203337e-06,7.353999535553157e-06
