n,temps_meilleur,temps_pire
1,2.690470028028358e-07,3.0037900432944296e-07
4512,1.9541950150596676e-06,1.5566410183964762e-06
9023,2.9742498736595737e-07,1.6377579922846053e-06
13534,1.9832170019071783e-06,1.7100019995268667e-06
18046,2.0405320246936754e-06,1.7707450078887632e-06
22557,3.2422601543657945e-07,1.845145001425408e-06
27068,2.0724309633806113e-06,1.794296971638687e-06
31579,3.105540035903687e-07,1.8827090098056943e-06
36091,2.999489915964659e-07,2.549578990510781e-06
40602,2.2998000094958115e-06,1.99423601043236e-06
45113,2.9840698880434504e-07,1.9362679922778623e-06
49625,3.059439877688419e-07,1.9884299963450756e-06
54136,2.191258003222174e-06,1.9226109943701884e-06
58647,3.0227098250179553e-07,1.975117031179252e-06
63158,2.2067300615162823e-06,1.916991037433036e-06
67670,2.390343017395935e-06,2.542858030210482e-06
72181,3.203730102541158e-07,2.0348959860712057e-06
76692,2.3801830211596096e-06,2.072737972412142e-06
81203,3.0542797139787583e-07,2.037081992966705e-06
85715,2.954009632958332e-07,2.025439980570809e-06
90226,2.3893719571788097e-06,1.9988960011687597e-06
94737,2.9882002672820816e-07,2.6532979936746413e-06
99249,3.086769884248497e-07,2.0522060094663176e-06
103760,2.380194011493586e-06,2.0953859802830266e-06
108271,2.952599934360478e-07,2.020765983616002e-06
112782,2.441329004795989e-06,2.105148965711123e-06
117294,2.6181089979218085e-06,2.8463879953051217e-06
121805,3.173109816998476e-07,2.106945010382333e-06
126316,3.1651860117563047e-06,2.651985992997652e-06
130827,3.0796695318713317e-07,2.0621840230887755e-06
135339,2.958580007543787e-07,2.120462031598436e-06
139850,2.517062990591512e-06,2.175054043618729e-06
144361,2.9253303182485977e-07,2.141248996849754e-06
148873,2.9576598717540036e-07,2.1737680053774965e-06
153384,2.4927960403147152e-06,2.180637984565692e-06
157895,3.0055700335651635e-07,2.2100269961811135e-06
162406,2.45253102548304e-06,2.1275750077620614e-06
166918,3.1269100327335763e-06,2.0485579825617607e-06
171429,2.958570094051538e-07,2.143421012078761e-06
175940,2.517449018341722e-06,2.1760939744126518e-06
180452,2.451154005029821e-06,2.129903994500637e-06
184963,3.0894600058672947e-07,2.174900997488294e-06
189474,2.434968015222694e-06,2.1359909533202882e-06
193985,3.02094984363066e-07,2.1783320044050923e-06
198497,2.922240146290278e-07,2.155785979994107e-06
203008,2.5348150029458337e-06,2.2373399697244167e-06
207519,2.9249397448438687e-07,2.1642109713866376e-06
212030,2.57151598452765e-06,2.1926000044913964e-06
216542,2.5153929636871907e-06,2.155421985662542e-06
221053,3.0822197913948914e-07,2.1804259686177827e-06
225564,2.9355490023590392e-06,2.1801320090162334e-06
230076,2.5474230042163983e-06,2.1903570577705978e-06
234587,2.964180093840696e-07,2.1392480593931395e-06
239098,2.6351199849159455e-06,2.195288041548338e-06
243609,3.013299992744578e-07,2.207490018918179e-06
248121,2.9482598984031937e-07,2.2019789830665102e-06
252632,2.487237978129997e-06,2.148739029507851e-06
257143,3.066199951717863e-07,2.1914579810982106e-06
261654,2.494155993190361e-06,2.2143729711388006e-06
266166,2.656832042703172e-06,2.38370798433607e-06
270677,2.936359760496998e-07,2.2673410185234386e-06
275188,2.655057005540584e-06,2.3064940633048535e-06
279700,2.570395014117821e-06,2.2798000118200434e-06
284211,3.037770256923977e-07,2.2892479901202023e-06
288722,2.5779559819056887e-06,2.29566904999956e-06
293233,2.9600800371554217e-07,2.3114200030249776e-06
297745,2.937699991889531e-07,2.256569006931386e-06
302256,2.6396279972686898e-06,2.295546006280347e-06
306767,2.942040100606391e-07,2.267751964609488e-06
311279,2.9631303368660155e-07,2.3003630030871137e-06
315790,2.5889010066748595e-06,2.2594560286961496e-06
320301,2.970489804283716e-07,2.309233021151158e-06
324812,2.5736619827512187e-06,2.274981961818412e-06
329324,2.6673359989217715e-06,2.3130939989641776e-06
333835,3.017470226041041e-07,2.301838007042534e-06
338346,2.735492033025366e-06,2.2932139982003717e-06
342857,2.9515501410060096e-07,2.2589990076085087e-06
347369,3.0988201615400613e-07,2.3055519686749902e-06
351880,2.627071993629215e-06,2.2848530370538354e-06
356391,2.947100037999917e-07,2.320131974556716e-06
360903,3.0106800113571806e-07,2.3138449596444844e-06
365414,2.6589649460220245e-06,2.3135749997891253e-06
369925,2.999949974764604e-07,2.264611997816246e-06
374436,3.333657010443858e-06,2.6953490396408596e-06
378948,2.5538749832776377e-06,2.264871976876748e-06
383459,3.0632498601335103e-07,2.3049289957270956e-06
387970,2.5684420033940116e-06,2.2560379875358194e-06
392481,3.004560167028103e-07,2.3465870199288476e-06
396993,3.026249578397255e-07,2.294138994329842e-06
401504,2.6708820205385564e-06,2.3538660316262396e-06
406015,2.9757698393950704e-07,2.295648944709683e-06
410527,3.071940063819056e-07,2.329290009583929e-06
415038,2.623037962621311e-06,2.3125669849832775e-06
419549,3.1588503588864116e-07,2.330715968128061e-06
424060,2.585717016700073e-06,2.2890269992785762e-06
428572,2.7342690282239344e-06,2.3813399820937775e-06
433083,2.971799985971302e-07,2.302985003552749e-06
437594,2.6809129976754775e-06,2.339793942155666e-06
442106,2.5958999976865015e-06,2.298979981787852e-06
446617,2.9873397215851585e-07,2.3357320096693003e-06
451128,2.591265007140464e-06,2.286541026478517e-06
455639,3.0742501621716656e-07,2.328041022337857e-06
460151,3.047809968848014e-07,2.30220596131403e-06
464662,2.715852991968859e-06,2.3495989789807937e-06
469173,3.043740325665567e-07,2.283525993334479e-06
473684,2.683918035472743e-06,2.3472799784940434e-06
478196,2.5877490224957e-06,2.3125429379433627e-06
482707,3.0343795515364036e-07,2.3905339876364453e-06
487218,2.589474981505191e-06,2.315426017958089e-06
491730,2.66716997975891e-06,2.3407109874824526e-06
496241,3.044040295208106e-07,2.298461018654052e-06
500752,2.6820859911822483e-06,2.3364340249827365e-06
505263,3.047170175705105e-07,2.3000009641691577e-06
509775,2.9820797681168185e-07,2.342526016946067e-06
514286,2.66259901036392e-06,2.3760110289003935e-06
518797,3.062439936911687e-07,2.340038017791812e-06
523308,2.580496015070821e-06,2.2872540157550247e-06
527820,2.8202560079080287e-06,2.4163190410035897e-06
532331,2.9829004233761224e-07,2.4110659669531743e-06
536842,2.8255400375201136e-06,2.4420990266662557e-06
541354,2.745804020378273e-06,2.4244210253527854e-06
545865,3.156890015816316e-07,2.497570993000409e-06
550376,2.7024080063711154e-06,2.3933059674163817e-06
554887,2.993169728142675e-07,2.304178990016226e-06
559399,2.7134296942676883e-07,2.211423006883706e-06
563910,2.1303090234141563e-06,1.819670027543907e-06
568421,1.8766999346553348e-07,1.4954639809729998e-06
572933,1.6321900329785422e-07,1.333651987806661e-06
577444,1.3198559845477576e-06,1.1465360094007339e-06
581955,1.4280600771598984e-07,1.1747039716283325e-06
586466,1.3001050047023455e-06,1.1445809868746438e-06
590978,1.3491359168256168e-06,1.1814519766630838e-06
595489,1.4089502110437025e-07,1.1472049973235698e-06
600000,1.331803996436065e-06,1.1729659890988841e-06
604511,1.424000092811184e-07,1.1501790067995899e-06
609023,1.4576995818060822e-07,1.1723139814421302e-06
613534,1.293982006245642e-06,1.1545250108611073e-06
618045,1.442469329049345e-07,1.1706499517458723e-06
622557,1.4246403770812322e-07,1.1501509943627752e-06
