n,temps_meilleur,temps_pire
1,2.017999577219598e-06,1.4260003808885813e-06
4512,1.3450007827486843e-06,0.0001393470010953024
9023,1.4859997463645414e-06,0.00027631400007521734
13534,1.1949996405746788e-06,0.000425910999183543
18046,1.1350002750987187e-06,0.0005515539996849839
22557,9.129998943535611e-07,0.0006859409986645915
27068,1.2849995982833207e-06,0.0008786470007180469
31579,1.5559999155811965e-06,0.000977956999122398
36091,1.3049993867753074e-06,0.0011149040001328103
40602,1.3649987522512674e-06,0.0012474439990910469
45113,1.3349999790079892e-06,0.0013940900007582968
49625,1.0140010999748483e-06,0.0015587860016239574
54136,1.0539988579694182e-06,0.0016765979999036063
58647,1.1440006346674636e-06,0.0018209039990324527
63158,1.1539996194187552e-06,0.0019443889996182406
67670,1.3760000001639128e-06,0.0020881929995084647
72181,1.264999809791334e-06,0.0022757990009267814
76692,1.1739994079107419e-06,0.002379677000135416
81203,1.1949996405746788e-06,0.002516001000913093
85715,1.3349999790079892e-06,0.0026702059985836968
90226,1.3749995559919626e-06,0.002685768000446842
94737,1.3450007827486843e-06,0.002949061001345399
99249,1.3950011634733528e-06,0.003078829999139998
103760,1.857999450294301e-06,0.003202625999620068
108271,1.3959997886558995e-06,0.003344852999362047
112782,1.505999534856528e-06,0.0035128029994666576
117294,1.1440006346674636e-06,0.0036731010004587006
121805,1.7169986676890403e-06,0.0038006920003681444
126316,1.3549997674999759e-06,0.003942277000533068
130827,2.258999302284792e-06,0.0040530120004405035
135339,1.7259990272577852e-06,0.004236300999764353
139850,1.5160003385972232e-06,0.004313383999033249
144361,3.885001206072047e-06,0.004523749001236865
148873,3.2520001695957035e-06,0.004704015998868272
153384,1.6160011000465602e-06,0.004786008001246955
157895,1.365000571240671e-06,0.004871201999776531
162406,2.028000380960293e-06,0.005022134999308037
166918,3.232000381103717e-06,0.005155826000191155
171429,1.7170004866784438e-06,0.0053516759999183705
175940,1.7170004866784438e-06,0.00550285399913264
180452,2.720000338740647e-06,0.005398676001277636
184963,1.8070004443870857e-06,0.005789019000076223
189474,1.755999619490467e-06,0.0058854769995377865
193985,1.3749995559919626e-06,0.006018827998559573
198497,1.4859997463645414e-06,0.006102176999775111
203008,3.261999154346995e-06,0.006321064000076149
207519,2.1690011635655537e-06,0.0064155759991990635
212030,1.7669990484137088e-06,0.006533527999636135
216542,1.8169994291383773e-06,0.006694984998830478
221053,1.676999090705067e-06,0.0068910150002921
225564,2.017999577219598e-06,0.007002672999078641
230076,5.7320012274431065e-06,0.007208107999758795
