Size,Algo,BestCase,PireCase
100000,NonTries,0.0000000076,0.0002194585
100000,Tries,0.0000000030,0.0000000034
100000,Dicho,0.0000000304,0.0000000308
200000,NonTries,0.0000000028,0.0001627332
200000,Tries,0.0000000027,0.0000000032
200000,Dicho,0.0000000297,0.0000000300
400000,NonTries,0.0000000029,0.0003303814
400000,Tries,0.0000000027,0.0000000032
400000,Dicho,0.0000000317,0.0000000324
600000,NonTries,0.0000000029,0.0004952875
600000,Tries,0.0000000029,0.0000000032
600000,Dicho,0.0000000334,0.0000000340
800000,NonTries,0.0000000028,0.0006565341
800000,Tries,0.0000000027,0.0000000032
800000,Dicho,0.0000000335,0.0000000337
1000000,NonTries,0.0000000027,0.0008376116
1000000,Tries,0.0000000029,0.0000000034
1000000,Dicho,0.0000000354,0.0000000368
1200000,NonTries,0.0000000031,0.0010248811
1200000,Tries,0.0000000029,0.0000000033
1200000,Dicho,0.0000000381,0.0000000386
1400000,NonTries,0.0000000030,0.0011934782
1400000,Tries,0.0000000029,0.0000000033
1400000,Dicho,0.0000000369,0.0000000373
1600000,NonTries,0.0000000029,0.0013646377
1600000,Tries,0.0000000030,0.0000000033
1600000,Dicho,0.0000000369,0.0000000375
1800000,NonTries,0.0000000030,0.0015859891
1800000,Tries,0.0000000030,0.0000000034
1800000,Dicho,0.0000000390,0.0000000396
2000000,NonTries,0.0000000031,0.0017709591
2000000,Tries,0.0000000032,0.0000000037
2000000,Dicho,0.0000000396,0.0000000404
4000000,NonTries,0.0000000031,0.0035513586
4000000,Tries,0.0000000031,0.0000000036
4000000,Dicho,0.0000000423,0.0000000422
5000000,NonTries,0.0000000031,0.0044546312
5000000,Tries,0.0000000030,0.0000000035
5000000,Dicho,0.0000000415,0.0000000424
6000000,NonTries,0.0000000031,0.0053416659
6000000,Tries,0.0000000031,0.0000000037
6000000,Dicho,0.0000000436,0.0000000444
7000000,NonTries,0.0000000031,0.0062542820
7000000,Tries,0.0000000031,0.0000000037
7000000,Dicho,0.0000000437,0.0000000448
8000000,NonTries,0.0000000031,0.0071389929
8000000,Tries,0.0000000031,0.0000000036
8000000,Dicho,0.0000000435,0.0000000442
